47S (j=1/2),455.1661314,658.6440364
47P (j=1/2),455.1429435,658.6775919
47P (j=3/2),455.1427925,658.6778104
46D (j=5/2),455.1218186,658.7081651
46D (j=3/2),455.1218055,658.7081840
48S (j=1/2),455.1172752,658.7147409
48P (j=1/2),455.0955696,658.7461581
48P (j=3/2),455.0954280,658.7463630
47D (j=5/2),455.0757821,658.7748015
47D (j=3/2),455.0757696,658.7748196
49S (j=1/2),455.0715255,658.7809635
49P (j=1/2),455.0511783,658.8104203
49P (j=3/2),455.0510454,658.8106126
48D (j=5/2),455.0326175,658.8372931
48D (j=3/2),455.0326055,658.8373105
50S (j=1/2),455.0286241,658.8430752
50P (j=1/2),455.0095242,658.8707313
50P (j=3/2),455.0093994,658.8709122
49D (j=5/2),454.9920906,658.8959768
49D (j=3/2),454.9920791,658.8959935
51S (j=1/2),454.9883394,658.9014092
51P (j=1/2),454.9703868,658.9274087
51P (j=3/2),454.9702693,658.9275789
50D (j=5/2),454.9539907,658.9511557
50D (j=3/2),454.9539797,658.9511718
52S (j=1/2),454.9504625,658.9562660
52P (j=1/2),454.9335672,658.9807384
52P (j=3/2),454.9334564,658.9808988
51D (j=5/2),454.9181277,659.0031035
51D (j=3/2),454.9181170,659.0031189
53S (j=1/2),454.9148054,659.0079164
53P (j=1/2),454.8988857,659.0309791
53P (j=3/2),454.8987812,659.0311305
52D (j=5/2),454.8843297,659.0520675
52D (j=3/2),454.8843194,659.0520825
54S (j=1/2),454.8811976,659.0566055
54P (j=1/2),454.8661799,659.0783647
54P (j=3/2),454.8660811,659.0785078
53D (j=5/2),454.8524411,659.0982721
53D (j=3/2),454.8524312,659.0982865
55S (j=1/2),454.8494851,659.1025555
55P (j=1/2),454.8353024,659.1231077
55P (j=3/2),454.8352090,659.1232430
54D (j=5/2),454.8223207,659.1419206
54D (j=3/2),454.8223110,659.1419346
56S (j=1/2),454.8195279,659.1459680
56P (j=1/2),454.8061194,659.1654009
56P (j=3/2),454.8060310,659.1655290
55D (j=5/2),454.7938400,659.1831983
55D (j=3/2),454.7938306,659.1832119
57S (j=1/2),454.7911988,659.1870265
57P (j=1/2),454.7785090,659.2054199
57P (j=3/2),454.7784252,659.2055413
56D (j=5/2),454.7668820,659.2222738
56D (j=3/2),454.7668730,659.2222869
58S (j=1/2),454.7643817,659.2258981
58P (j=1/2),454.7523603,659.2433249
58P (j=3/2),454.7522808,659.2434402
57D (j=5/2),454.7413402,659.2593009
57D (j=3/2),454.7413314,659.2593137
59S (j=1/2),454.7389710,659.2627356
59P (j=1/2),454.7275717,659.2792622
59P (j=3/2),454.7274962,659.2793717
58D (j=5/2),454.7171169,659.2944204
58D (j=3/2),454.7171083,659.2944328
60S (j=1/2),454.7148699,659.2976782
60P (j=1/2),454.7040506,659.3133658
60P (j=3/2),454.7039787,659.3134699
59D (j=5/2),454.6941228,659.3277611
59D (j=3/2),454.6941145,659.3277732
61S (j=1/2),454.6919900,659.3308539
61P (j=1/2),454.6817118,659.3457582
61P (j=3/2),454.6816435,659.3458573
60D (j=5/2),454.6722763,659.3594411
60D (j=3/2),454.6722682,659.3594529
62S (j=1/2),454.6702500,659.3623797
62P (j=1/2),454.6604775,659.3765521
62P (j=3/2),454.6604124,659.3766465
61D (j=5/2),454.6515021,659.3895690
61D (j=3/2),454.6514941,659.3895805
63S (j=1/2),454.6495754,659.3923632
63P (j=1/2),454.6402759,659.4058509
63P (j=3/2),454.6402139,659.4059409
62D (j=5/2),454.6317311,659.4182444
62D (j=3/2),454.6317234,659.4182557
64S (j=1/2),454.6298978,659.4209036
64P (j=1/2),454.6210412,659.4337499
64P (j=3/2),454.6209820,659.4338358
63D (j=5/2),454.6128998,659.4455593
63D (j=3/2),454.6128922,659.4455703
65S (j=1/2),454.6111540,659.4480918
65P (j=1/2),454.6027126,659.4603369
65P (j=3/2),454.6026561,659.4604189
64D (j=5/2),454.5949495,659.4715984
64D (j=3/2),454.5949421,659.4716092
66S (j=1/2),454.5932857,659.4740121
66P (j=1/2),454.5852340,659.4856928
66P (j=3/2),454.5851800,659.4857712
65D (j=5/2),454.5778261,659.4964399
65D (j=3/2),454.5778189,659.4964505
67S (j=1/2),454.5762394,659.4987419
67P (j=1/2),454.5685537,659.5098925
67P (j=3/2),454.5685021,659.5099675
66D (j=5/2),454.5614796,659.5201562
66D (j=3/2),454.5614725,659.5201665
68S (j=1/2),454.5599653,659.5223532
68P (j=1/2),454.5526238,659.5330052
68P (j=3/2),454.5525743,659.5330770
67D (j=5/2),454.5458636,659.5428141
67D (j=3/2),454.5458566,659.5428243
69S (j=1/2),454.5444175,659.5449124
69P (j=1/2),454.5373998,659.5550952
69P (j=3/2),454.5373525,659.5551639
68D (j=5/2),454.5309352,659.5644758
68D (j=3/2),454.5309283,659.5644858
70S (j=1/2),454.5295533,659.5664810
70P (j=1/2),454.5228408,659.5762217
70P (j=3/2),454.5227954,659.5762876
69D (j=5/2),454.5166546,659.5851988
69D (j=3/2),454.5166479,659.5852086
71S (j=1/2),454.5153333,659.5871163
71P (j=1/2),454.5089084,659.5964402
71P (j=3/2),454.5088648,659.5965034
70D (j=5/2),454.5029850,659.6050365
70D (j=3/2),454.5029783,659.6050462
72S (j=1/2),454.5017208,659.6068712
72P (j=1/2),454.4955673,659.6158018
72P (j=3/2),454.4955255,659.6158624
71D (j=5/2),454.4898918,659.6240388
71D (j=3/2),454.4898852,659.6240483
73S (j=1/2),454.4886815,659.6257953
73P (j=1/2),454.4827844,659.6343543
73P (j=3/2),454.4827442,659.6344126
72D (j=5/2),454.4773431,659.6422518
